index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,304.06483789561366,687.4798314746942
0,polygon,1,314.6933827325488,838.148551609118
0,polygon,2,108.66444447207357,852.6823434011636
0,polygon,3,98.03589963513798,702.0136232667397
