Date,Sample,Attempted,Succesful,Note,Folder,Experiment,Path
15/11/2022,dm-embryo,4,1,"Sever, Landing",2022_final,Dm_E11_3Nov2022_-2022-11-15.11-50-17AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/Dm_E11_3Nov2022_-2022-11-15.11-50-17AM
14/11/2022,dm-embryo,4,2,Sever,2022_final,Dm-E11-3Nov22-2022-11-14.01-20-47PM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/Dm-E11-3Nov22-2022-11-14.01-20-47PM
1/11/2022,dm-embryo,3,3,,2022_final,dm-embryo-ml-01-2022-11-01.11-59-19AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/dm-embryo-ml-01-2022-11-01.11-59-19AM
25/10/2022,dm-embryo,4,0,Sever,2022_final,Dm-embryos-2022-10-25.11-29-09AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/Dm-embryos-2022-10-25.11-29-09AM
21/10/2022,dm-embryo,2,0,No Attempt,2022_final,dm-embryo-09-2022-10-21.11-32-09AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/dm-embryo-09-2022-10-21.11-32-09AM
18/10/2022,dm-embryo,6,4,Sever,2022_final,dm-embryo-08-2022-10-18.10-39-45AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/dm-embryo-08-2022-10-18.10-39-45AM
17/10/2022,dm-embryo,4,3,Sever,2022_final,dm-embryo-07-2022-10-17.11-22-36AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/dm-embryo-07-2022-10-17.11-22-36AM
25/08/2022,dm-embryo,4,2,Sever,2022_final,dm-embrypo-test-04_2022-08-25.12-15-37PM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/dm-embrypo-test-04_2022-08-25.12-15-37PM
30/08/2022,dm-embryo,3,1,"Sever, Jcut",2022_final,dm-embryo-06_2022-08-30.03-26-27PM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/dm-embryo-06_2022-08-30.03-26-27PM
29/08/2022,dm-embryo,5,1,Sever,2022_final,dm-embryo-05_2022-08-29.11-57-03AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/dm-embryo-05_2022-08-29.11-57-03AM
19/07/2022,dm-embryo,6,3,Sever,2022_final,dm-embryo-3_20220719.104850,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/dm-embryo-3_20220719.104850
26/08/2022,dm-embryo,3,1,No Attempt,2022_final,side-pickup_2022-08-26.10-55-14AM,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/side-pickup_2022-08-26.10-55-14AM
18/07/2022,dm-embryo,6,0,"Sever, Jcut",2022_final,dm_embryo-2_20220718.123528,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/dm_embryo-2_20220718.123528
11/07/2022,dm-embryo,2,0,Sever,2022_final,dm_embryo_20220711.152007,smb://storage.erc.monash.edu.au/shares/R-MNHS-AMI/ADM-LAB/Projects/autoliftout/selected_liftouts/2022_final/dm_embryo_20220711.152007
